sku_id,predicted_quantity
1009AA,418.415722663434
1077CA,3994.559304135348
1083AA,3923.7255208675197
1116CA,3925.375908773427
1126CA,2273.196705621001
1130AA,936.186843198067
1161AA,82.47686732826214
1163CA,87.29379832257682
1193BA,191.5125457227233
1196AA,5.76048215254718
1206BA,65.10491835379634
1214CA,58.69413394573173
1224AA,177.4519397522493
1234BA,125.79629005666163
1244AA,1832.4643949359654
1255CA,2.0752330138824693
1281BA,1.11009520752869
1283CA,1.11009520752869
1295CA,1.11009520752869
1296CA,6.442349721554085
1308BA,4.388756940975177
1315BA,4.285939908756597
1317BA,5.901841179486533
1317CA,1.1165243238558278
1321BA,5.705029667033477
1325AA,7.053469282715222
1326AA,4.128959127136937
1330CA,1.11009520752869
1367CA,1.11009520752869
1373BA,5.794192163630148
1374CA,7.1568533721691
1379CA,9.339615237382471
1382CA,10.19482910983744
1385CA,6.8870548101115805
1390BA,4.270651348058184
1403CA,2.0628223328453443
1420CA,4.601705266868649
1434BA,4.878924096923671
1441AA,6.866608111713015
1445BA,1.9036999770633654
1464AA,3.5719777767139314
1468AA,4.3297596354549714
1479CA,4.2737834875087035
1486CA,8.532122462604312
1488CA,5.904810907667193
1497CA,106.11159487539956
1499AA,137.16661550913244
1499CA,3.243075598679687
1511CA,20.684724381010962
1514BA,3.9265995085588354
1571AA,3.0305730212014526
1582CA,1.11009520752869
1584BA,1.11009520752869
1586CA,68.95605325161878
1601AA,4.306446284318164
1624AA,2.314064388803809
1624CA,2.3675846502000684
1630BA,2.292567023868995
1672AA,8.841264812529005
1678CA,4.068260894418931
1681CA,22.751655354484022
1688CA,8.037463460304116
1695CA,1.11009520752869
1698CA,4.345914123307815
1712AA,6.791324393760228
1741BA,3.266396538590619
1745BA,1.1198593624917972
1764AA,4.423446588232322
1766CA,4.462693615370572
1767CA,5.833977650120913
1798AA,3.5693522509839264
1801AA,8.224855126099811
1811CA,4.356353214358743
1819AA,3.3132176125842605
1826AA,4.491928514498599
1827AA,3.906032771173054
1830AA,3.3903382616625
1842BA,1.11009520752869
1851CA,4.812114572692109
1857AA,7.264413351188525
1876AA,1.4683088047588135
1902BA,5.82440944608254
1906CA,1.1165243238558278
1907AA,1.1133520907347534
1921AA,1.1198593624917972
1945AA,2.1214201993336563
