sku_id,order_quantity,Predicted_Quantity
2060AA,7.0,12.36947805154186
2173CA,3.0,3.6663805939819327
1678CA,50.940113034,41.9287717822173
2066AA,4.0,6.0469889933218335
2117BA,69.64791192,48.11860761861973
1921AA,2.0,21.791965228470893
1906CA,8.0,3.7203006079044525
2752AA,205.0,130.0072509678654
2977BA,24.0,21.948285589365955
1315BA,35.150363947,44.49852809325736
1317CA,8.0,9.418651317341919
2200CA,8.0,81.50129085244694
3053AA,8.0,39.95648756324583
3038BA,14.209396551,8.871454533746089
2867AA,149.0,160.9865387692871
1295CA,2.4970750500000003,6.006407651534359
2988AA,1.0,3.6663805939819327
1445BA,7.0,16.713895145913547
1511CA,179.0,176.00787357201753
3533CA,17594.0,14057.327990651987
1681CA,250.226996732,224.60554157775135
1214CA,16.0,26.72885539828224
2977BA,33.0,22.54100151457198
2528CA,10356.96586692,9133.887335260475
2513CA,13.0,9.366398938963068
2391CA,131384.10503500002,117934.94186555281
1009AA,150.0,178.69484890955403
2449CA,39.730965434,30.451432630878788
1695CA,1.0,3.6663805939819327
2785BA,1422.0,1236.125037439373
2564BA,252.0,224.88259786269438
1819AA,34.1540071,39.64100488117341
3180BA,64.620862734,96.48714457824228
1373BA,34.810448484,43.320639783783115
1681CA,198.348318665,138.19463334643166
1130AA,389.0,421.442516869889
1908AA,6.0,3.6663805939819327
3205AA,1.907061165,3.6663805939819327
1688CA,35.469168161,41.9287717822173
3177CA,1815.05,1650.4821606551302
3075AA,3.0,10.669965552403777
2923CA,27.0,42.49731540682344
2727CA,1191.0,951.1741874033104
1161AA,26.0,277.99893168616245
1479CA,71.0,44.56910173389546
2173CA,388.0,296.71164725749213
2315BA,285.0,158.7969821964976
1163CA,32.0,246.55827867923108
1745BA,22.695129126999998,18.862819071169245
3448CA,627.0,540.0688652584761
1373BA,62.12023506,43.62872885168063
2565CA,1257.83321204,1188.252514661191
3358BA,2.0,4.676885619628754
1956CA,4.0,4.676885619628754
2473CA,103331.191441,72979.19501664859
1499AA,832.0,1070.3308604736974
2212AA,5.0,14.633268709532226
2508BA,1.0,3.6663805939819327
2096BA,2.0,8.498181172888158
2041CA,20.0,15.90108459533857
1993AA,3140.0,2723.612606307778
2640BA,144.0,123.14856779653122
3533CA,7113.0,10380.136165972583
1953AA,4.0,3.6663805939819327
1956AA,1.0,3.6663805939819327
2021CA,22.0,41.88184876900943
2025AA,20.0,21.854715378773825
1296CA,41.766035869,42.98664041516209
1967BA,2545.0,2165.3600999136843
3576BA,55.0,43.62872885168063
2498CA,2.0,8.431393542435751
3239AA,18.818848728,66.9895311948003
3025CA,5.0,4.676885619628754
2096AA,29.394912267,38.184394946294645
1995AA,1110.0,891.8375055386288
3448CA,176.0,124.63290915506806
3404CA,67.0,44.270704409680896
2752AA,48.0,103.26823719352966
2371CA,10386.42078,16103.459178484378
2528CA,7635.5833933,4270.972746377957
1403CA,2.333641086,3.6663805939819327
1582CA,14.246331987,10.24362959971174
2139BA,2.0,3.7203006079044525
2371CA,36087.229173,74569.55178176243
3619CA,26658.0,23100.953731391117
2337CA,3616.0,2457.4005421029833
1906CA,1.0,8.758071187078594
1130AA,13496.0,8580.729493481214
3193AA,20.0,16.20504141315135
2337CA,1932.0,1529.2244167374354
3420AA,2.0,3.75959690779684
2229AA,17.0,10.0715503024466
1956AA,1.0,3.6663805939819327
2066AA,3.0,3.6663805939819327
2994CA,1.0,3.6663805939819327
2236CA,11.0,4.320261011820552
2539AA,44.805613234,43.13462544968475
1811CA,67.162139633,63.091001596366034
1326AA,3.74898086,19.70579574841224
1083AA,5211.0,3018.4578073974185
1283CA,6.310707721999999,8.431393542435751
2632AA,40.0,294.6483454869496
1902BA,36.154598156,47.039654581531835
2429BA,12780.0,9205.037064538496
1586CA,4.0,6.006407651534359
2293AA,334.0,329.85097383428183
3006CA,9.31172181,15.159575067085695
1811CA,9.221010823,10.24362959971174
2876CA,6.0,11.818087687858936
2291AA,5349.0,6130.214065289937
1373BA,46.886155897,41.140325737827204
2564BA,61.0,163.9098551698549
3178CA,11.893778252,9.895256162022397
1464AA,12.0,8.94747997588582
1956CA,16.0,8.672147342153597
2342CA,30.0,12018.927565339744
2391CA,174888.764164,117128.66731248058
1281BA,6.124562219,4.422662119768752
1479CA,52.0,65.92700225892825
2115CA,3.0,3.892840392516451
3027CA,3.0,3.6663805939819327
2013AA,4006.5,3136.591304977976
1497CA,1598.5,1477.1253880803242
2988AA,3.0,4.422662119768752
1484BA,3.0,3.6663805939819327
1499CA,14.0,15.1945410410306
1224AA,745.0,601.4706832861532
3551CA,1736.0,3519.886916289946
1584BA,4.519035832,4.422662119768752
1464AA,6.0,3.7203006079044525
3007CA,2.39506899,3.7203006079044525
1586CA,120.0,43.62872885168063
3075AA,3.0,16.33138932871042
3006CA,32.702004135,37.59509453313092
1967BA,1605.0,1604.9205627354452
3551CA,915.0,1472.8468172529922
1161AA,58.0,322.2572496936649
1116CA,9156.0,6400.827275648306
2539AA,51.896056359,63.370741055890456
2229AA,7.0,8.71748984529112
1224AA,40.0,119.42013807673129
2078CA,5.0,3.7203006079044525
1584BA,3.081506084,14.932613804762338
1330CA,2.0,3.6663805939819327
1766CA,7.1807691590000005,40.816013963827
1308BA,17.18224584,38.288324808771016
2473CA,23744.2707197,87622.52521333702
1907AA,4.0,6.006407651534359
1745BA,44.217824366,31.503014821854798
2847BA,1.0,217.2376798116776
1163CA,94.0,50.71408746844753
2265BA,3.0,18.024687525695374
2220BA,2.0,3.6663805939819327
1374CA,39.698615153000006,43.80254405825343
1321BA,52.445901025,43.82119011141858
2234AA,1.0,51.90791894432655
3016BA,1.529076655,3.6663805939819327
2621AA,325.0,246.9442087579903
2988AA,3.0,3.6663805939819327
1464AA,2.0,4.676885619628754
